Filename,Valuetype,Index Type,Problem Size,Bytes,Allocation-time,Access Method
./Cstackarray,i,m,250,1000,0.0002090,a[i] = i*x
./Cstackarray,i,m,250,1000,0.0002290,a[i] = i*x
./Cstackarray,i,m,250,1000,0.0002230,a[i] = i*x
./Cstackarray,i,m,250,1000,0.0002330,a[i] = i*x
./Cstackarray,i,m,250,1000,0.0002270,a[i] = i*x
./Cstackarray,i,m,250,1000,0.0001980,a[i] = i*x
./Cstackarray,i,m,250,1000,0.0002200,a[i] = i*x
./Cstackarray,i,m,250,1000,0.0002010,a[i] = i*x
./cppstdarray,i,m,250,1000,0.0001970,a[i] = i*x
./cppstdarray,i,m,250,1000,0.0002330,a[i] = i*x
./cppstdarray,i,m,250,1000,0.0002420,a[i] = i*x
./cppstdarray,i,m,250,1000,0.0002400,a[i] = i*x
./cppstdarray,i,m,250,1000,0.0002400,a[i] = i*x
./cppstdarray,i,m,250,1000,0.0002450,a[i] = i*x
./cppstdarray,i,m,250,1000,0.0002260,a[i] = i*x
./cppstdarray,i,m,250,1000,0.0002330,a[i] = i*x
./cppstdvectr,i,m,250,1024,0.0005070,using reserve(size) emplace_back i*3
./cppstdvectr,i,m,250,1024,0.0005210,using reserve(size) emplace_back i*3
./cppstdvectr,i,m,250,1024,0.0005310,using reserve(size) emplace_back i*3
./cppstdvectr,i,m,250,1024,0.0005340,using reserve(size) emplace_back i*3
./cppstdvectr,i,m,250,1024,0.0005590,using reserve(size) emplace_back i*3
./cppstdvectr,i,m,250,1024,0.0005560,using reserve(size) emplace_back i*3
./cppstdvectr,i,m,250,1024,0.0005580,using reserve(size) emplace_back i*3
./cppstdvectr,i,m,250,1024,0.0005450,using reserve(size) emplace_back i*3
./Cstackarray,i,m,250000,1000000,0.4828250,a[i] = i*x
./Cstackarray,i,m,250000,1000000,0.4355500,a[i] = i*x
./Cstackarray,i,m,250000,1000000,0.4324470,a[i] = i*x
./Cstackarray,i,m,250000,1000000,0.4347410,a[i] = i*x
./Cstackarray,i,m,250000,1000000,0.4197640,a[i] = i*x
./Cstackarray,i,m,250000,1000000,0.4293130,a[i] = i*x
./Cstackarray,i,m,250000,1000000,0.4414010,a[i] = i*x
./Cstackarray,i,m,250000,1000000,0.4278860,a[i] = i*x
./cppstdarray,i,m,250000,1000000,0.4315500,a[i] = i*x
./cppstdarray,i,m,250000,1000000,0.4277630,a[i] = i*x
./cppstdarray,i,m,250000,1000000,0.4479380,a[i] = i*x
./cppstdarray,i,m,250000,1000000,0.4646320,a[i] = i*x
./cppstdarray,i,m,250000,1000000,0.4332100,a[i] = i*x
./cppstdarray,i,m,250000,1000000,0.4268040,a[i] = i*x
./cppstdarray,i,m,250000,1000000,0.4485140,a[i] = i*x
./cppstdarray,i,m,250000,1000000,0.4592120,a[i] = i*x
./cppstdvectr,i,m,250000,1000024,0.7377140,using reserve(size) emplace_back i*3
./cppstdvectr,i,m,250000,1000024,0.7351240,using reserve(size) emplace_back i*3
./cppstdvectr,i,m,250000,1000024,0.7413950,using reserve(size) emplace_back i*3
./cppstdvectr,i,m,250000,1000024,0.7417840,using reserve(size) emplace_back i*3
./cppstdvectr,i,m,250000,1000024,0.7351890,using reserve(size) emplace_back i*3
./cppstdvectr,i,m,250000,1000024,0.7337810,using reserve(size) emplace_back i*3
./cppstdvectr,i,m,250000,1000024,0.7401550,using reserve(size) emplace_back i*3
./cppstdvectr,i,m,250000,1000024,0.7404450,using reserve(size) emplace_back i*3
