Filename,Datatype,Problem Size,Bytes,Allocation-time
./stackarr,i,250000,1000000,0.728603
./stackarr,i,250000,1000000,0.728282
./stackarr,i,250000,1000000,0.728673
./stackarr,i,250000,1000000,0.728613
./stackarr,i,250000,1000000,0.728152
./cpstdarr,i,250000,1000000,2.00886
./cpstdarr,i,250000,1000000,2.01444
./cpstdarr,i,250000,1000000,2.00044
./cpstdarr,i,250000,1000000,1.95022
./cpstdarr,i,250000,1000000,2.03147
./cpstdvec,i,250000,1000024,8.77876
./cpstdvec,i,250000,1000024,8.79766
./cpstdvec,i,250000,1000024,8.80891
./cpstdvec,i,250000,1000024,8.81085
./cpstdvec,i,250000,1000024,8.76124
