Filename,Datatype,Problem Size,Bytes,Allocation-time
./stackarr,i,250000,1000000,0.000100
./stackarr,i,250000,1000000,9e-05
./stackarr,i,250000,1000000,9e-05
./stackarr,i,250000,1000000,9e-05
./stackarr,i,250000,1000000,9e-05
./stackarr,i,250000,1000000,9e-05
./cpstdarr,i,250000,1000000,9e-05
./cpstdarr,i,250000,1000000,8.1e-05
./cpstdarr,i,250000,1000000,9e-05
./cpstdarr,i,250000,1000000,9e-05
./cpstdarr,i,250000,1000000,0.0001
./cpstdarr,i,250000,1000000,9.1e-05
./cpstdvec,i,250000,1000024,0.927283
./cpstdvec,i,250000,1000024,1.00873
./cpstdvec,i,250000,1000024,0.948523
./cpstdvec,i,250000,1000024,0.935298
./cpstdvec,i,250000,1000024,0.931841
./cpstdvec,i,250000,1000024,0.960005
